# Region type : patch outlet
# Faces         : 30
# Area          : 4.35778714e-06
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
100             	4.35784262e-07
200             	4.35778459e-07
300             	4.35778664e-07
400             	4.35778465e-07
500             	4.35778602e-07
600             	4.35778576e-07
700             	4.35778814e-07
800             	4.35778688e-07
900             	4.35778722e-07
1000            	4.35778693e-07
1100            	4.35778738e-07
1200            	4.35778707e-07
1300            	4.35778716e-07
1400            	4.35778697e-07
1500            	4.35778719e-07
1600            	4.35778741e-07
1700            	4.35778694e-07
1800            	4.35778716e-07
1900            	4.35778742e-07
2000            	4.35778714e-07
2100            	4.35778711e-07
2200            	4.35778692e-07
2300            	4.35778710e-07
2400            	4.35778719e-07
2500            	4.35778687e-07
2600            	4.35778730e-07
2700            	4.35778714e-07
2800            	4.35778734e-07
2900            	4.35778699e-07
3000            	4.35778712e-07
3100            	4.35778705e-07
3200            	4.35778723e-07
3300            	4.35778718e-07
3400            	4.35778686e-07
3500            	4.35778720e-07
3600            	4.35778717e-07
3700            	4.35778691e-07
3800            	4.35778727e-07
3900            	4.35778713e-07
4000            	4.35778729e-07
4100            	4.35778701e-07
4200            	4.35778694e-07
4300            	4.35778745e-07
4400            	4.35778714e-07
4500            	4.35778718e-07
4600            	4.35778743e-07
4700            	4.35778717e-07
4800            	4.35778720e-07
4900            	4.35778697e-07
5000            	4.35778710e-07
5100            	4.35778715e-07
5200            	4.35778697e-07
5300            	4.35778720e-07
5400            	4.35778706e-07
5500            	4.35778718e-07
5600            	4.35778710e-07
5700            	4.35778743e-07
5800            	4.35778695e-07
5900            	4.35778714e-07
6000            	4.35778698e-07
6100            	4.35778733e-07
6200            	4.35778716e-07
6300            	4.35778683e-07
6400            	4.35778704e-07
6500            	4.35778720e-07
6600            	4.35778687e-07
6700            	4.35778733e-07
6800            	4.35778723e-07
6900            	4.35778720e-07
7000            	4.35778706e-07
7100            	4.35778711e-07
7200            	4.35778735e-07
7300            	4.35778698e-07
7400            	4.35778720e-07
7500            	4.35778747e-07
7600            	4.35778717e-07
7700            	4.35778718e-07
7800            	4.35778689e-07
7900            	4.35778728e-07
8000            	4.35778710e-07
