# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	7.368410e-02	1.005070e-03	2	1.055770e-02	1.836650e-04	2	1.000000e+00	1.559120e-02	2	false	GAMG	1.000000e+00	9.054340e-02	34	true
2             	smoothSolver	2.361120e-01	1.090310e-02	2	2.929320e-01	2.340290e-02	1	2.326130e-01	7.042500e-03	2	false	GAMG	1.454920e-02	1.449280e-03	10	true
3             	smoothSolver	1.492330e-01	7.334640e-03	2	1.888810e-01	1.803590e-02	1	1.192870e-01	4.969570e-03	2	false	GAMG	1.838860e-02	1.649970e-03	13	true
4             	smoothSolver	1.009590e-01	4.981170e-03	2	1.911420e-01	1.601280e-02	1	7.195600e-02	3.476740e-03	2	false	GAMG	1.847870e-02	1.740510e-03	10	true
5             	smoothSolver	7.009480e-02	3.303200e-03	2	1.412000e-01	1.252890e-02	1	5.057480e-02	2.700990e-03	2	false	GAMG	1.545620e-02	1.457550e-03	7	true
6             	smoothSolver	5.188500e-02	2.396850e-03	2	1.223410e-01	1.124990e-02	1	3.889190e-02	2.215750e-03	2	false	GAMG	1.441450e-02	1.324440e-03	8	true
7             	smoothSolver	3.999110e-02	1.794480e-03	2	9.744180e-02	9.456760e-03	1	3.113070e-02	1.793520e-03	2	false	GAMG	1.423140e-02	1.399140e-03	6	true
8             	smoothSolver	3.472020e-02	1.520640e-03	2	7.877220e-02	1.376610e-03	2	2.614300e-02	1.514470e-03	2	false	GAMG	1.405130e-02	1.375700e-03	6	true
9             	smoothSolver	2.919670e-02	1.243520e-03	2	7.318360e-02	1.294850e-03	2	2.231200e-02	1.303790e-03	2	false	GAMG	1.236180e-02	1.114050e-03	7	true
10            	smoothSolver	2.431150e-02	1.029240e-03	2	7.934640e-02	7.418230e-03	1	1.938440e-02	1.142820e-03	2	false	GAMG	1.161530e-02	1.112260e-03	5	true
11            	smoothSolver	2.107110e-02	8.805800e-04	2	7.604950e-02	7.409820e-03	1	1.721310e-02	1.024120e-03	2	false	GAMG	1.033020e-02	9.666220e-04	6	true
12            	smoothSolver	1.888060e-02	7.942190e-04	2	7.762910e-02	7.365680e-03	1	1.534330e-02	9.179960e-04	2	false	GAMG	9.298300e-03	8.124000e-04	6	true
13            	smoothSolver	1.632120e-02	6.659590e-04	2	6.857900e-02	6.635160e-03	1	1.378950e-02	8.242800e-04	2	false	GAMG	8.885210e-03	8.391330e-04	5	true
14            	smoothSolver	1.536870e-02	6.401550e-04	2	7.210030e-02	6.950970e-03	1	1.255740e-02	7.532550e-04	2	false	GAMG	8.910990e-03	8.292580e-04	5	true
15            	smoothSolver	1.418510e-02	5.739740e-04	2	6.704230e-02	6.530250e-03	1	1.147190e-02	6.860210e-04	2	false	GAMG	8.356070e-03	7.121960e-04	6	true
16            	smoothSolver	1.332460e-02	5.457590e-04	2	7.174690e-02	6.559830e-03	1	1.051270e-02	6.229010e-04	2	false	GAMG	8.047030e-03	7.486140e-04	4	true
17            	smoothSolver	1.207940e-02	4.864910e-04	2	6.827300e-02	6.063330e-03	1	9.692420e-03	5.788430e-04	2	false	GAMG	7.696950e-03	7.685370e-04	5	true
18            	smoothSolver	1.145300e-02	4.531760e-04	2	6.124480e-02	5.858070e-03	1	9.004420e-03	5.355770e-04	2	false	GAMG	7.268780e-03	6.550040e-04	5	true
19            	smoothSolver	1.063320e-02	4.251690e-04	2	6.477480e-02	5.780210e-03	1	8.382040e-03	5.031580e-04	2	false	GAMG	6.463760e-03	6.350400e-04	5	true
20            	smoothSolver	9.826450e-03	3.870450e-04	2	5.740420e-02	5.434350e-03	1	7.822620e-03	4.698310e-04	2	false	GAMG	6.229070e-03	6.200630e-04	4	true
21            	smoothSolver	9.299760e-03	3.641820e-04	2	5.816830e-02	5.383890e-03	1	7.296770e-03	4.352600e-04	2	false	GAMG	5.895370e-03	4.418630e-04	5	true
22            	smoothSolver	8.585210e-03	3.392700e-04	2	5.524270e-02	5.151440e-03	1	6.842030e-03	4.134170e-04	2	false	GAMG	5.459770e-03	5.332260e-04	4	true
23            	smoothSolver	7.991250e-03	3.120720e-04	2	5.237960e-02	4.986030e-03	1	6.426460e-03	3.892610e-04	2	false	GAMG	5.378950e-03	5.335200e-04	4	true
24            	smoothSolver	7.689430e-03	3.067600e-04	2	5.072760e-02	4.809210e-03	1	6.061930e-03	3.646010e-04	2	false	GAMG	5.361500e-03	5.095970e-04	4	true
25            	smoothSolver	7.349530e-03	2.885510e-04	2	4.841890e-02	4.675590e-03	1	5.727750e-03	3.426420e-04	2	false	GAMG	5.193160e-03	5.017240e-04	5	true
26            	smoothSolver	7.118360e-03	2.755140e-04	2	5.080810e-02	4.774260e-03	1	5.427260e-03	3.242520e-04	2	false	GAMG	4.812200e-03	4.358340e-04	4	true
27            	smoothSolver	6.664060e-03	2.583020e-04	2	4.704890e-02	4.383700e-03	1	5.134240e-03	3.067020e-04	2	false	GAMG	4.501470e-03	3.772000e-04	5	true
