# y+ ()       
# Time        	patch         	min           	max           	average       
100           	sideWall	2.396129e-01	5.240005e-01	2.498907e-01
200           	sideWall	2.349978e-01	5.240005e-01	2.468713e-01
300           	sideWall	2.344430e-01	5.240005e-01	2.466396e-01
400           	sideWall	2.343166e-01	5.240005e-01	2.466138e-01
500           	sideWall	2.342606e-01	5.240005e-01	2.466094e-01
600           	sideWall	2.342559e-01	5.240005e-01	2.466095e-01
700           	sideWall	2.342565e-01	5.240005e-01	2.466095e-01
800           	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
900           	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
1000          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
1100          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
1200          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
1300          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
1400          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
1500          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
1600          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
1700          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
1800          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
1900          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
2000          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
2100          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
2200          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
2300          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
2400          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
2500          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
2600          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
2700          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
2800          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
2900          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
3000          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
3100          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
3200          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
3300          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
3400          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
3500          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
3600          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
3700          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
3800          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
3900          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
4000          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
4100          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
4200          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
4300          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
4400          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
4500          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
4600          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
4700          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
4800          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
4900          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
5000          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
5100          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
5200          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
5300          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
5400          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
5500          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
5600          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
5700          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
5800          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
5900          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
6000          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
6100          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
6200          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
6300          	sideWall	2.342562e-01	5.240005e-01	2.466095e-01
6400          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
6500          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
6600          	sideWall	2.342562e-01	5.240005e-01	2.466095e-01
6700          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
6800          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
6900          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
7000          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
7100          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
7200          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
7300          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
7400          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
7500          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
7600          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
7700          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
7800          	sideWall	2.342562e-01	5.240005e-01	2.466095e-01
7900          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
8000          	sideWall	2.342563e-01	5.240005e-01	2.466095e-01
