# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	epsilon_solver	epsilon_initial	epsilon_final 	epsilon_iters 	epsilon_converged
1             	DILUPBiCGStab	1.000000e+00	8.464750e-10	3	0.000000e+00	0.000000e+00	0	false	DILUPBiCGStab	1.000000e+00	2.105060e-11	3	true	GAMG	1.000000e+00	8.610070e-03	5	true	DILUPBiCGStab	9.432730e-01	6.375050e-13	3	true
2             	DILUPBiCGStab	2.527850e-01	3.875640e-10	5	1.507500e-01	8.569530e-10	5	false	DILUPBiCGStab	7.985850e-01	1.362260e-10	3	true	GAMG	5.228100e-02	1.328990e-04	4	true	DILUPBiCGStab	8.527680e-01	4.958390e-11	3	true
3             	DILUPBiCGStab	6.778010e-02	4.560430e-09	4	7.951660e-02	9.811100e-10	5	false	DILUPBiCGStab	6.454110e-01	4.952690e-09	3	true	GAMG	1.459870e-01	4.825280e-04	3	true	DILUPBiCGStab	7.194000e-01	1.092270e-09	3	true
4             	DILUPBiCGStab	4.628170e-02	3.736460e-09	4	6.787380e-02	1.052080e-09	5	false	DILUPBiCGStab	4.985630e-01	3.442940e-09	3	true	GAMG	2.377230e-01	1.135300e-03	3	true	DILUPBiCGStab	5.725740e-01	2.412980e-09	3	true
5             	DILUPBiCGStab	4.552610e-02	7.173910e-09	4	6.169540e-02	8.364470e-10	5	false	DILUPBiCGStab	4.199910e-01	5.611610e-09	3	true	GAMG	2.670230e-01	1.520820e-03	3	true	DILUPBiCGStab	4.597720e-01	4.224390e-09	3	true
6             	DILUPBiCGStab	4.282980e-02	3.696640e-09	4	5.994900e-02	1.624550e-09	5	false	DILUPBiCGStab	3.658220e-01	6.081490e-09	3	true	GAMG	1.960570e-01	1.242880e-03	3	true	DILUPBiCGStab	3.938330e-01	3.776300e-09	3	true
7             	DILUPBiCGStab	4.064360e-02	4.234590e-09	4	6.180290e-02	2.039540e-09	5	false	DILUPBiCGStab	3.174050e-01	8.778550e-09	3	true	GAMG	1.595750e-01	9.847550e-04	3	true	DILUPBiCGStab	3.357900e-01	2.486000e-09	3	true
8             	DILUPBiCGStab	3.708270e-02	3.550180e-09	4	6.020900e-02	1.654600e-09	5	false	DILUPBiCGStab	2.772600e-01	4.457820e-09	3	true	GAMG	1.470590e-01	3.184010e-04	3	true	DILUPBiCGStab	2.826860e-01	2.883540e-09	3	true
9             	DILUPBiCGStab	3.246660e-02	2.371210e-09	4	5.240940e-02	7.457830e-10	5	false	DILUPBiCGStab	2.316930e-01	4.613610e-09	3	true	GAMG	1.349500e-01	1.304340e-03	2	true	DILUPBiCGStab	2.276510e-01	1.887300e-09	3	true
10            	DILUPBiCGStab	2.938970e-02	2.943470e-09	4	4.895920e-02	1.380260e-09	5	false	DILUPBiCGStab	1.942430e-01	2.372500e-09	3	true	GAMG	1.245720e-01	3.121980e-04	3	true	DILUPBiCGStab	1.821820e-01	7.185730e-10	3	true
