# y+ ()       
# Time        	patch         	min           	max           	average       
100           	lowerWall	1.072246e+00	2.109587e+01	1.473814e+01
100           	upperWall	8.741483e+00	1.949376e+01	1.359583e+01
200           	lowerWall	6.094402e-01	2.075600e+01	1.556366e+01
200           	upperWall	1.309829e+01	1.949390e+01	1.511687e+01
300           	lowerWall	6.035360e-01	2.073973e+01	1.547406e+01
300           	upperWall	1.319076e+01	1.949360e+01	1.516332e+01
400           	lowerWall	6.033907e-01	2.075875e+01	1.547297e+01
400           	upperWall	1.319845e+01	1.949361e+01	1.516514e+01
500           	lowerWall	6.033948e-01	2.073816e+01	1.547282e+01
500           	upperWall	1.319854e+01	1.949399e+01	1.516537e+01
600           	lowerWall	6.033122e-01	2.073092e+01	1.547351e+01
600           	upperWall	1.319866e+01	1.949389e+01	1.516548e+01
700           	lowerWall	6.033928e-01	2.075940e+01	1.547247e+01
700           	upperWall	1.319861e+01	1.949391e+01	1.516549e+01
800           	lowerWall	6.034055e-01	2.074620e+01	1.547316e+01
800           	upperWall	1.319871e+01	1.949398e+01	1.516536e+01
900           	lowerWall	6.032523e-01	2.073396e+01	1.547298e+01
900           	upperWall	1.319865e+01	1.949375e+01	1.516514e+01
1000          	lowerWall	6.034221e-01	2.075769e+01	1.547287e+01
1000          	upperWall	1.319873e+01	1.949392e+01	1.516554e+01
