# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 4.700000e-01
# Aref        : 5.750000e-02
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	6.973999e+01	4.201912e+01	2.772087e+01	1.406243e+01	5.418909e+01	-4.012666e+01	4.715787e+01	7.149121e+00	2.078458e+01	-1.090367e+01	1.533275e+01	-2.623641e+01
2             	3.786359e+00	8.604367e-01	2.925923e+00	1.400006e+00	4.171067e+00	-2.771061e+00	3.471064e+00	-1.032743e+00	-4.654334e+00	3.115703e+00	-3.096483e+00	6.212186e+00
3             	8.713053e-01	-7.993420e-02	9.512395e-01	7.727703e-01	8.858323e-01	-1.130620e-01	4.994472e-01	-5.155868e-01	-2.438070e+00	1.684028e+00	-1.596056e+00	3.280084e+00
4             	1.218641e-03	-4.561886e-01	4.574072e-01	2.932378e-01	-1.733030e-02	3.105681e-01	-1.639492e-01	-4.567979e-01	-2.125698e+00	1.286378e+00	-1.482509e+00	2.768887e+00
5             	3.651557e-01	-1.849935e-01	5.501493e-01	4.600641e-01	4.215352e-01	3.852892e-02	1.915032e-01	-3.675714e-01	-1.873250e+00	1.137597e+00	-1.304452e+00	2.442049e+00
6             	6.636738e-01	-3.026929e-02	6.939431e-01	5.578702e-01	7.659379e-01	-2.080678e-01	4.870029e-01	-3.621062e-01	-1.825914e+00	1.161690e+00	-1.245069e+00	2.406759e+00
7             	7.215333e-01	-6.191983e-02	7.834531e-01	5.926021e-01	8.798387e-01	-2.872366e-01	5.835377e-01	-4.226865e-01	-2.003149e+00	1.326117e+00	-1.340090e+00	2.666207e+00
8             	7.005056e-01	-8.970728e-02	7.902129e-01	5.797781e-01	8.505285e-01	-2.707504e-01	5.606394e-01	-4.399601e-01	-2.061190e+00	1.364073e+00	-1.379154e+00	2.743227e+00
9             	6.745181e-01	-1.210529e-01	7.955709e-01	5.715292e-01	8.243452e-01	-2.528160e-01	5.385806e-01	-4.583119e-01	-2.126698e+00	1.404517e+00	-1.424439e+00	2.828957e+00
10            	6.569368e-01	-1.373456e-01	7.942824e-01	5.669198e-01	8.069907e-01	-2.400709e-01	5.235308e-01	-4.658140e-01	-2.153872e+00	1.419450e+00	-1.444147e+00	2.863597e+00
