# y+ ()       
# Time        	patch         	min           	max           	average       
100           	body	2.533865e+01	2.511088e+02	6.308435e+01
100           	head	7.096797e+00	1.914140e+02	6.990178e+01
100           	leg	1.766285e+01	3.540751e+02	6.529032e+01
100           	slant	3.229205e+01	2.859115e+02	7.037335e+01
100           	ground	8.739307e+01	2.431337e+03	2.741539e+02
200           	body	3.122547e+01	2.889301e+02	7.131286e+01
200           	head	5.828125e+00	2.104492e+02	7.115841e+01
200           	leg	2.600647e+01	4.657579e+02	9.721984e+01
200           	slant	2.723631e+01	3.576269e+02	7.742891e+01
200           	ground	3.902141e+01	3.808218e+03	4.026094e+02
300           	body	1.798382e+01	2.965797e+02	7.261533e+01
300           	head	6.823449e+00	2.135410e+02	7.013685e+01
300           	leg	3.564229e+01	5.092230e+02	1.062038e+02
300           	slant	2.105481e+01	4.631873e+02	7.826763e+01
300           	ground	3.884227e+01	4.904195e+03	4.249897e+02
400           	body	2.071863e+01	2.754469e+02	7.269814e+01
400           	head	6.943136e+00	1.695956e+02	6.768848e+01
400           	leg	2.439958e+01	5.138726e+02	1.044362e+02
400           	slant	2.231756e+01	4.814731e+02	7.973493e+01
400           	ground	3.884218e+01	5.314751e+03	4.409873e+02
500           	body	2.128900e+01	2.703004e+02	7.265555e+01
500           	head	5.809784e+00	1.678292e+02	6.758398e+01
500           	leg	2.279382e+01	5.118369e+02	1.034397e+02
500           	slant	3.604135e+01	4.819951e+02	8.033210e+01
500           	ground	3.884197e+01	5.727843e+03	4.731298e+02
600           	body	2.290237e+01	2.700047e+02	7.263595e+01
600           	head	6.725872e+00	1.677876e+02	6.758997e+01
600           	leg	2.272153e+01	5.097828e+02	1.032519e+02
600           	slant	3.663115e+01	4.788314e+02	8.159131e+01
600           	ground	3.884172e+01	6.848484e+03	4.931013e+02
700           	body	1.546083e+01	2.697466e+02	7.265020e+01
700           	head	7.249849e+00	1.677924e+02	6.759405e+01
700           	leg	2.279418e+01	5.109822e+02	1.032300e+02
700           	slant	3.116266e+01	4.784353e+02	8.073635e+01
700           	ground	3.884169e+01	7.239817e+03	4.997150e+02
800           	body	1.863418e+01	2.699107e+02	7.262972e+01
800           	head	6.683654e+00	1.677813e+02	6.759062e+01
800           	leg	2.274089e+01	5.079425e+02	1.026950e+02
800           	slant	3.402955e+01	4.784354e+02	8.096471e+01
800           	ground	3.884160e+01	7.287411e+03	5.000993e+02
900           	body	1.979491e+01	2.699354e+02	7.262619e+01
900           	head	6.244821e+00	1.677917e+02	6.758920e+01
900           	leg	2.274751e+01	5.121196e+02	1.033069e+02
900           	slant	3.322613e+01	4.784323e+02	8.119747e+01
900           	ground	3.884151e+01	7.337839e+03	5.002250e+02
1000          	body	2.319802e+01	2.696069e+02	7.258058e+01
1000          	head	6.459278e+00	1.678067e+02	6.759344e+01
1000          	leg	2.279155e+01	5.103428e+02	1.027577e+02
1000          	slant	3.722551e+01	4.785007e+02	8.116019e+01
1000          	ground	3.884147e+01	7.392424e+03	5.000096e+02
