# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
1             	smoothSolver	1.000000e+00	5.884520e-02	4	1.000000e+00	7.842060e-02	4	1.000000e+00	6.246720e-02	6	false	GAMG	1.000000e+00	9.964060e-03	9	true
2             	smoothSolver	2.701930e-01	1.349360e-02	3	3.377190e-01	1.370960e-02	3	3.148580e-01	1.393040e-02	3	false	GAMG	3.667550e-01	2.222690e-03	6	true
3             	smoothSolver	7.031660e-02	3.118390e-03	3	1.062990e-01	4.452090e-03	3	1.078950e-01	5.016040e-03	3	false	GAMG	2.913690e-01	2.459050e-03	5	true
4             	smoothSolver	3.664410e-02	1.551560e-03	3	5.343770e-02	2.051270e-03	3	5.907830e-02	2.308740e-03	3	false	GAMG	1.850230e-01	9.942680e-04	5	true
5             	smoothSolver	1.935490e-02	9.292980e-04	3	2.683460e-02	1.076920e-03	3	2.823470e-02	1.253420e-03	3	false	GAMG	1.942450e-01	1.532230e-03	4	true
6             	smoothSolver	1.296900e-02	6.319250e-04	3	1.740130e-02	6.829380e-04	3	1.789150e-02	8.210500e-04	3	false	GAMG	1.865400e-01	1.759130e-03	4	true
7             	smoothSolver	1.090000e-02	5.310190e-04	3	1.431410e-02	5.597460e-04	3	1.472130e-02	6.705370e-04	3	false	GAMG	1.782650e-01	1.374590e-03	4	true
8             	smoothSolver	9.039010e-03	4.488830e-04	3	1.226490e-02	4.846810e-04	3	1.241510e-02	5.654950e-04	3	false	GAMG	1.491730e-01	1.155140e-03	4	true
9             	smoothSolver	7.935780e-03	3.964490e-04	3	1.088740e-02	4.317730e-04	3	1.089890e-02	4.935360e-04	3	false	GAMG	1.140540e-01	1.041110e-03	4	true
10            	smoothSolver	7.094610e-03	3.569630e-04	3	9.911260e-03	3.921620e-04	3	9.781760e-03	4.411250e-04	3	false	GAMG	8.669330e-02	7.536650e-04	4	true
11            	smoothSolver	6.649920e-03	3.349330e-04	3	9.365200e-03	3.675340e-04	3	9.206080e-03	4.121610e-04	3	false	GAMG	6.691650e-02	6.294840e-04	4	true
12            	smoothSolver	6.312600e-03	3.168000e-04	3	9.040840e-03	3.545020e-04	3	8.814100e-03	3.911880e-04	3	false	GAMG	5.458910e-02	3.589680e-04	5	true
13            	smoothSolver	6.052290e-03	3.020920e-04	3	8.802810e-03	3.442450e-04	3	8.509990e-03	3.760810e-04	3	false	GAMG	4.627670e-02	4.184680e-04	4	true
14            	smoothSolver	5.885870e-03	2.913860e-04	3	8.586430e-03	3.353120e-04	3	8.254560e-03	3.616730e-04	3	false	GAMG	4.107890e-02	2.778720e-04	5	true
15            	smoothSolver	5.801720e-03	2.845440e-04	3	8.386520e-03	3.302310e-04	3	8.021340e-03	3.504680e-04	3	false	GAMG	3.893180e-02	2.652760e-04	5	true
16            	smoothSolver	5.660230e-03	2.754750e-04	3	8.188770e-03	3.241750e-04	3	7.810970e-03	3.420590e-04	3	false	GAMG	3.679380e-02	2.387330e-04	5	true
17            	smoothSolver	5.499850e-03	2.668880e-04	3	8.004460e-03	3.189730e-04	3	7.604010e-03	3.349150e-04	3	false	GAMG	3.436680e-02	2.194120e-04	5	true
18            	smoothSolver	5.347600e-03	2.590760e-04	3	7.829030e-03	3.132230e-04	3	7.439290e-03	3.296010e-04	3	false	GAMG	3.146550e-02	1.904050e-04	5	true
19            	smoothSolver	5.200120e-03	2.507600e-04	3	7.672170e-03	3.071470e-04	3	7.293430e-03	3.206040e-04	3	false	GAMG	3.186690e-02	1.963100e-04	5	true
20            	smoothSolver	5.088710e-03	2.439410e-04	3	7.543340e-03	3.030160e-04	3	7.186330e-03	3.135970e-04	3	false	GAMG	3.062980e-02	3.039800e-04	4	true
21            	smoothSolver	4.965490e-03	2.358060e-04	3	7.418800e-03	2.972870e-04	3	7.059920e-03	3.047990e-04	3	false	GAMG	2.943190e-02	2.019830e-04	5	true
22            	smoothSolver	4.866270e-03	2.300610e-04	3	7.295440e-03	2.914780e-04	3	6.960090e-03	2.965110e-04	3	false	GAMG	2.750200e-02	1.712550e-04	5	true
23            	smoothSolver	4.791980e-03	2.247350e-04	3	7.197570e-03	2.874900e-04	3	6.876170e-03	2.890850e-04	3	false	GAMG	2.844940e-02	1.856710e-04	5	true
24            	smoothSolver	4.700980e-03	2.190840e-04	3	7.085420e-03	2.825690e-04	3	6.773790e-03	2.795290e-04	3	false	GAMG	2.734990e-02	1.856830e-04	5	true
25            	smoothSolver	4.642820e-03	2.154310e-04	3	7.005540e-03	2.772240e-04	3	6.707360e-03	2.727330e-04	3	false	GAMG	2.846010e-02	2.213370e-04	5	true
26            	smoothSolver	4.585500e-03	2.126170e-04	3	6.926010e-03	2.734190e-04	3	6.638840e-03	2.649780e-04	3	false	GAMG	2.884560e-02	2.260600e-04	5	true
27            	smoothSolver	4.524820e-03	2.093690e-04	3	6.845630e-03	2.690330e-04	3	6.570460e-03	2.609390e-04	3	false	GAMG	2.957300e-02	2.312360e-04	5	true
28            	smoothSolver	4.457790e-03	2.069570e-04	3	6.768710e-03	2.653440e-04	3	6.523100e-03	6.473730e-04	2	false	GAMG	2.832620e-02	2.018050e-04	5	true
29            	smoothSolver	4.399270e-03	2.040860e-04	3	6.703840e-03	2.616060e-04	3	6.502590e-03	2.620640e-04	3	false	GAMG	3.044120e-02	2.243920e-04	5	true
30            	smoothSolver	4.339510e-03	2.012670e-04	3	6.634680e-03	2.583800e-04	3	6.442750e-03	2.557630e-04	3	false	GAMG	2.840820e-02	1.928210e-04	5	true
31            	smoothSolver	4.284940e-03	1.980960e-04	3	6.578200e-03	6.563500e-04	2	6.402530e-03	6.324680e-04	2	false	GAMG	3.071450e-02	2.035470e-04	5	true
32            	smoothSolver	4.232870e-03	1.953590e-04	3	6.532190e-03	2.616230e-04	3	6.377640e-03	2.540540e-04	3	false	GAMG	2.948720e-02	1.830250e-04	5	true
33            	smoothSolver	4.174440e-03	1.926790e-04	3	6.472590e-03	2.576710e-04	3	6.322300e-03	6.248200e-04	2	false	GAMG	3.037910e-02	2.068930e-04	5	true
34            	smoothSolver	4.129210e-03	1.900860e-04	3	6.421500e-03	2.529100e-04	3	6.309790e-03	2.501240e-04	3	false	GAMG	2.976840e-02	1.890490e-04	5	true
35            	smoothSolver	4.085330e-03	1.875720e-04	3	6.372480e-03	6.367670e-04	2	6.266190e-03	6.202270e-04	2	false	GAMG	3.056520e-02	2.045810e-04	5	true
36            	smoothSolver	4.053150e-03	1.854230e-04	3	6.347560e-03	2.530750e-04	3	6.259890e-03	2.465860e-04	3	false	GAMG	3.039680e-02	3.015700e-04	4	true
37            	smoothSolver	4.014660e-03	1.837910e-04	3	6.305290e-03	2.473110e-04	3	6.218260e-03	6.097070e-04	2	false	GAMG	3.023450e-02	2.250080e-04	5	true
38            	smoothSolver	3.989130e-03	1.823150e-04	3	6.281850e-03	6.250050e-04	2	6.213730e-03	6.188630e-04	2	false	GAMG	3.077340e-02	2.889250e-04	4	true
39            	smoothSolver	3.950610e-03	1.799020e-04	3	6.259980e-03	2.471570e-04	3	6.177280e-03	2.438900e-04	3	false	GAMG	3.029310e-02	1.897880e-04	5	true
40            	smoothSolver	3.919920e-03	1.789940e-04	3	6.221510e-03	2.424300e-04	3	6.143340e-03	6.066210e-04	2	false	GAMG	3.076330e-02	2.800130e-04	4	true
41            	smoothSolver	3.883200e-03	1.768530e-04	3	6.197130e-03	6.126750e-04	2	6.125130e-03	6.106140e-04	2	false	GAMG	3.008450e-02	1.892220e-04	5	true
42            	smoothSolver	3.853770e-03	1.756920e-04	3	6.188230e-03	2.438860e-04	3	6.104920e-03	2.413170e-04	3	false	GAMG	3.071200e-02	2.677650e-04	4	true
43            	smoothSolver	3.822510e-03	1.736830e-04	3	6.173000e-03	2.398760e-04	3	6.065830e-03	5.941830e-04	2	false	GAMG	3.004160e-02	2.994190e-04	4	true
44            	smoothSolver	3.801720e-03	1.720700e-04	3	6.156030e-03	6.118130e-04	2	6.053840e-03	5.985770e-04	2	false	GAMG	3.107290e-02	2.918000e-04	4	true
45            	smoothSolver	3.780550e-03	1.714800e-04	3	6.169160e-03	2.432400e-04	3	6.039490e-03	2.376410e-04	3	false	GAMG	3.059630e-02	1.886140e-04	5	true
46            	smoothSolver	3.748070e-03	1.688230e-04	3	6.155180e-03	2.403880e-04	3	6.009260e-03	5.840910e-04	2	false	GAMG	3.120000e-02	2.837460e-04	4	true
47            	smoothSolver	3.719640e-03	1.673100e-04	3	6.151550e-03	6.090730e-04	2	5.995500e-03	5.879690e-04	2	false	GAMG	3.055570e-02	1.877180e-04	5	true
48            	smoothSolver	3.691840e-03	1.642410e-04	3	6.147390e-03	2.414820e-04	3	5.972650e-03	5.868310e-04	2	false	GAMG	3.222180e-02	2.986170e-04	4	true
49            	smoothSolver	3.651380e-03	1.613690e-04	3	6.138600e-03	6.123000e-04	2	5.953740e-03	5.904590e-04	2	false	GAMG	3.033520e-02	3.008340e-04	4	true
50            	smoothSolver	3.630370e-03	1.602670e-04	3	6.152630e-03	2.442680e-04	3	5.932550e-03	5.925280e-04	2	false	GAMG	3.126960e-02	2.962590e-04	4	true
51            	smoothSolver	3.602340e-03	1.584600e-04	3	6.140900e-03	2.380170e-04	3	5.914390e-03	5.906890e-04	2	false	GAMG	3.054670e-02	2.908370e-04	4	true
52            	smoothSolver	3.574170e-03	1.560550e-04	3	6.139590e-03	6.005340e-04	2	5.898080e-03	5.855040e-04	2	false	GAMG	3.065890e-02	2.798220e-04	4	true
53            	smoothSolver	3.545780e-03	1.544130e-04	3	6.140050e-03	2.388290e-04	3	5.862540e-03	5.807570e-04	2	false	GAMG	3.041450e-02	2.662990e-04	4	true
54            	smoothSolver	3.516110e-03	1.534360e-04	3	6.135160e-03	6.087300e-04	2	5.852350e-03	5.771950e-04	2	false	GAMG	3.040140e-02	2.504960e-04	4	true
55            	smoothSolver	3.491320e-03	1.516960e-04	3	6.138150e-03	2.414480e-04	3	5.822270e-03	5.740430e-04	2	false	GAMG	3.052740e-02	2.471720e-04	4	true
56            	smoothSolver	3.459130e-03	1.499340e-04	3	6.129200e-03	2.374030e-04	3	5.807920e-03	5.730610e-04	2	false	GAMG	3.104240e-02	2.289420e-04	4	true
57            	smoothSolver	3.433590e-03	1.488020e-04	3	6.126800e-03	6.053580e-04	2	5.798100e-03	5.728010e-04	2	false	GAMG	3.043680e-02	2.184450e-04	4	true
58            	smoothSolver	3.405850e-03	1.475410e-04	3	6.135450e-03	2.390570e-04	3	5.779930e-03	5.727440e-04	2	false	GAMG	3.044570e-02	2.308870e-04	4	true
59            	smoothSolver	3.380770e-03	1.459660e-04	3	6.133210e-03	6.074620e-04	2	5.779460e-03	5.712600e-04	2	false	GAMG	3.078190e-02	2.329210e-04	4	true
60            	smoothSolver	3.350830e-03	1.449010e-04	3	6.133720e-03	2.392070e-04	3	5.769660e-03	5.705480e-04	2	false	GAMG	3.093760e-02	2.558350e-04	4	true
61            	smoothSolver	3.328850e-03	1.438930e-04	3	6.130610e-03	6.066490e-04	2	5.761320e-03	5.681090e-04	2	false	GAMG	3.104310e-02	2.539510e-04	4	true
62            	smoothSolver	3.300010e-03	1.428380e-04	3	6.127500e-03	2.390120e-04	3	5.754990e-03	5.643380e-04	2	false	GAMG	3.063490e-02	2.641730e-04	4	true
63            	smoothSolver	3.277500e-03	1.424100e-04	3	6.109750e-03	6.032400e-04	2	5.750190e-03	5.617580e-04	2	false	GAMG	3.074360e-02	2.614810e-04	4	true
64            	smoothSolver	3.255100e-03	1.420480e-04	3	6.102810e-03	2.386300e-04	3	5.744930e-03	5.574480e-04	2	false	GAMG	3.099520e-02	2.858390e-04	4	true
65            	smoothSolver	3.230560e-03	1.412090e-04	3	6.088030e-03	6.021320e-04	2	5.741390e-03	5.560000e-04	2	false	GAMG	3.063720e-02	2.766290e-04	4	true
66            	smoothSolver	3.211330e-03	1.401190e-04	3	6.088370e-03	2.394150e-04	3	5.735650e-03	5.535800e-04	2	false	GAMG	3.061090e-02	2.830610e-04	4	true
67            	smoothSolver	3.190660e-03	1.384880e-04	3	6.072590e-03	6.024570e-04	2	5.729540e-03	5.517050e-04	2	false	GAMG	2.958030e-02	2.740710e-04	4	true
68            	smoothSolver	3.172670e-03	1.377380e-04	3	6.067150e-03	2.397640e-04	3	5.712710e-03	5.518280e-04	2	false	GAMG	3.016240e-02	2.731160e-04	4	true
69            	smoothSolver	3.159770e-03	1.367820e-04	3	6.054390e-03	6.030610e-04	2	5.703440e-03	5.500960e-04	2	false	GAMG	2.946070e-02	2.546340e-04	4	true
70            	smoothSolver	3.141020e-03	1.372000e-04	3	6.046510e-03	2.397120e-04	3	5.682120e-03	5.529740e-04	2	false	GAMG	2.982910e-02	2.496920e-04	4	true
71            	smoothSolver	3.132570e-03	1.368370e-04	3	6.028860e-03	6.018770e-04	2	5.683800e-03	5.554050e-04	2	false	GAMG	2.981240e-02	2.438640e-04	4	true
72            	smoothSolver	3.118120e-03	1.361150e-04	3	6.024250e-03	2.387910e-04	3	5.660690e-03	5.549490e-04	2	false	GAMG	2.961030e-02	2.390360e-04	4	true
73            	smoothSolver	3.108620e-03	1.351570e-04	3	6.004500e-03	5.952440e-04	2	5.654190e-03	5.560810e-04	2	false	GAMG	2.968180e-02	2.378540e-04	4	true
74            	smoothSolver	3.092190e-03	1.345540e-04	3	5.998860e-03	2.371640e-04	3	5.629910e-03	5.533140e-04	2	false	GAMG	2.919700e-02	2.232440e-04	4	true
75            	smoothSolver	3.075920e-03	1.333460e-04	3	5.979330e-03	5.922380e-04	2	5.615110e-03	5.496470e-04	2	false	GAMG	2.912070e-02	2.178470e-04	4	true
