# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 4.000000e+01
# lRef        : 4.700000e-01
# Aref        : 1.150000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	8.987698e+01	4.493786e+01	4.493912e+01	1.995513e+01	6.707532e+01	-4.712020e+01	5.709776e+01	-6.325036e-04	-6.793760e-04	1.646205e-03	1.437266e-04	1.502479e-03
2             	5.041537e+00	2.516904e+00	2.524633e+00	1.079078e+00	3.879710e+00	-2.800631e+00	3.340171e+00	-3.864733e-03	-2.476398e-02	9.549802e-03	-1.998908e-02	2.953888e-02
3             	2.691587e+00	1.346803e+00	1.344784e+00	7.505256e-01	1.717150e+00	-9.666243e-01	1.341887e+00	1.009657e-03	9.706033e-03	-3.022410e-03	8.194828e-03	-1.121724e-02
4             	-3.747659e-01	-1.861545e-01	-1.886114e-01	-3.813458e-01	-8.057619e-01	4.244162e-01	-6.150890e-01	1.228420e-03	4.212669e-03	-3.992235e-03	2.216551e-03	-6.208786e-03
5             	6.745352e-02	3.392241e-02	3.353111e-02	-8.420276e-02	-2.185580e-01	1.343552e-01	-1.764566e-01	1.956508e-04	4.233421e-03	3.003148e-04	4.383579e-03	-4.083264e-03
6             	4.024463e-01	1.993259e-01	2.031204e-01	2.884881e-02	1.459333e-01	-1.170845e-01	1.315089e-01	-1.897250e-03	-2.471680e-03	2.920249e-03	-1.011555e-03	3.931804e-03
7             	4.719700e-01	2.344021e-01	2.375679e-01	9.864023e-02	2.379253e-01	-1.392851e-01	1.886052e-01	-1.582931e-03	-2.644844e-03	2.586274e-03	-1.351707e-03	3.937982e-03
8             	4.893888e-01	2.442637e-01	2.451251e-01	1.106639e-01	2.501285e-01	-1.394646e-01	1.947965e-01	-4.307008e-04	-1.785658e-03	4.303690e-04	-1.570474e-03	2.000843e-03
9             	4.969739e-01	2.483309e-01	2.486430e-01	1.351898e-01	2.780916e-01	-1.429019e-01	2.104968e-01	-1.560517e-04	-1.287320e-03	1.483405e-04	-1.213150e-03	1.361491e-03
10            	4.908117e-01	2.454759e-01	2.453358e-01	1.429308e-01	2.841117e-01	-1.411808e-01	2.126462e-01	7.007743e-05	-7.812470e-05	-4.435456e-04	-2.998975e-04	-1.436481e-04
11            	4.905436e-01	2.453040e-01	2.452396e-01	1.610896e-01	3.031644e-01	-1.420748e-01	2.226196e-01	3.216679e-05	1.242337e-04	-3.061691e-04	-2.885082e-05	-2.773183e-04
