# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged
1             	smoothSolver	1.000000e+00	6.136130e-02	4	1.000000e+00	7.120740e-02	3	1.000000e+00	6.017500e-02	4	false	smoothSolver	1.000000e+00	2.461000e-02	1	true	GAMG	1.000000e+00	8.950980e-03	11	true	smoothSolver	9.065860e-04	2.225780e-05	2	true
2             	smoothSolver	1.515940e-01	7.323980e-03	3	3.504850e-01	1.628220e-02	3	1.416510e-01	5.951400e-03	3	false	smoothSolver	2.881790e-01	6.932330e-03	1	true	GAMG	5.265160e-02	3.844300e-04	6	true	smoothSolver	6.881630e-04	2.175920e-05	2	true
3             	smoothSolver	4.076900e-02	1.819920e-03	3	1.435910e-01	5.645830e-03	3	5.321180e-02	2.119130e-03	3	false	smoothSolver	1.585240e-01	3.761950e-03	1	true	GAMG	1.135610e-01	8.263380e-04	5	true	smoothSolver	7.086490e-04	2.091620e-05	2	true
4             	smoothSolver	1.994710e-02	8.022380e-04	3	7.733460e-02	2.945020e-03	3	2.617290e-02	9.734530e-04	3	false	smoothSolver	1.076810e-01	2.547660e-03	1	true	GAMG	1.405760e-01	1.027530e-03	4	true	smoothSolver	6.324920e-04	1.914660e-05	2	true
5             	smoothSolver	1.110850e-02	5.115030e-04	3	3.607740e-02	1.522590e-03	3	1.272390e-02	5.280360e-04	3	false	smoothSolver	8.068990e-02	1.960400e-03	1	true	GAMG	1.979800e-01	1.386130e-03	3	true	smoothSolver	5.626970e-04	1.669450e-05	2	true
6             	smoothSolver	7.109640e-03	3.508710e-04	3	2.039530e-02	8.857270e-04	3	7.452080e-03	3.206060e-04	3	false	smoothSolver	6.404720e-02	1.597360e-03	1	true	GAMG	1.987470e-01	1.060210e-03	4	true	smoothSolver	5.323820e-04	1.530760e-05	2	true
7             	smoothSolver	5.465970e-03	2.522250e-04	3	1.486260e-02	6.468850e-04	3	5.697550e-03	2.404090e-04	3	false	smoothSolver	5.271440e-02	1.351700e-03	1	true	GAMG	1.273330e-01	8.066190e-04	3	true	smoothSolver	5.109220e-04	1.400320e-05	2	true
8             	smoothSolver	4.151470e-03	1.978980e-04	3	1.201610e-02	5.300290e-04	3	4.465030e-03	1.880970e-04	3	false	smoothSolver	4.457730e-02	1.178820e-03	1	true	GAMG	8.751500e-02	7.950750e-04	3	true	smoothSolver	4.947570e-04	1.303890e-05	2	true
9             	smoothSolver	3.462910e-03	1.631690e-04	3	1.053120e-02	4.604670e-04	3	3.759840e-03	1.567940e-04	3	false	smoothSolver	3.843800e-02	1.050380e-03	1	true	GAMG	5.605410e-02	4.045920e-04	3	true	smoothSolver	4.837670e-04	1.251810e-05	2	true
10            	smoothSolver	3.079160e-03	1.443600e-04	3	9.619210e-03	4.194180e-04	3	3.361790e-03	1.389840e-04	3	false	smoothSolver	3.361870e-02	9.500940e-04	1	true	GAMG	3.929790e-02	2.755770e-04	3	true	smoothSolver	4.737740e-04	1.215530e-05	2	true
11            	smoothSolver	2.839530e-03	1.321540e-04	3	8.987140e-03	3.908280e-04	3	3.094810e-03	1.268620e-04	3	false	smoothSolver	2.973620e-02	8.683810e-04	1	true	GAMG	3.064630e-02	2.332080e-04	3	true	smoothSolver	4.649620e-04	1.180780e-05	2	true
12            	smoothSolver	2.686910e-03	1.243540e-04	3	8.558300e-03	3.718130e-04	3	2.927300e-03	1.201870e-04	3	false	smoothSolver	2.653380e-02	8.006440e-04	1	true	GAMG	2.308510e-02	2.034110e-04	3	true	smoothSolver	4.575210e-04	1.149560e-05	2	true
13            	smoothSolver	2.595230e-03	1.192370e-04	3	8.249000e-03	3.572380e-04	3	2.811620e-03	1.151000e-04	3	false	smoothSolver	2.387530e-02	7.438920e-04	1	true	GAMG	1.983440e-02	1.982680e-04	3	true	smoothSolver	4.508570e-04	1.119020e-05	2	true
14            	smoothSolver	2.527250e-03	1.156330e-04	3	8.026440e-03	3.476750e-04	3	2.730850e-03	1.114580e-04	3	false	smoothSolver	2.162210e-02	6.956600e-04	1	true	GAMG	1.764080e-02	1.299780e-04	4	true	smoothSolver	4.445780e-04	1.090650e-05	2	true
15            	smoothSolver	2.504280e-03	1.140490e-04	3	7.864360e-03	3.378110e-04	3	2.687860e-03	1.088850e-04	3	false	smoothSolver	1.971300e-02	6.544320e-04	1	true	GAMG	1.722230e-02	1.488580e-04	3	true	smoothSolver	4.382080e-04	1.066380e-05	2	true
16            	smoothSolver	2.426060e-03	1.103940e-04	3	7.686160e-03	3.282960e-04	3	2.599580e-03	1.041260e-04	3	false	smoothSolver	1.806590e-02	6.185260e-04	1	true	GAMG	1.536530e-02	1.009920e-04	4	true	smoothSolver	4.330130e-04	1.050980e-05	2	true
17            	smoothSolver	2.370220e-03	1.069880e-04	3	7.539310e-03	3.207860e-04	3	2.527330e-03	1.003190e-04	3	false	smoothSolver	1.663490e-02	5.864070e-04	1	true	GAMG	1.442280e-02	1.315130e-04	3	true	smoothSolver	4.276660e-04	1.034730e-05	2	true
18            	smoothSolver	2.307750e-03	1.039640e-04	3	7.398770e-03	3.146940e-04	3	2.460660e-03	9.717420e-05	3	false	smoothSolver	1.537690e-02	5.576010e-04	1	true	GAMG	1.329480e-02	8.264030e-05	4	true	smoothSolver	4.223790e-04	1.019570e-05	2	true
19            	smoothSolver	2.232210e-03	1.002360e-04	3	7.262240e-03	3.087510e-04	3	2.386840e-03	9.394610e-05	3	false	smoothSolver	1.426380e-02	5.312420e-04	1	true	GAMG	1.202920e-02	1.042340e-04	3	true	smoothSolver	4.166270e-04	1.001240e-05	2	true
20            	smoothSolver	2.188350e-03	9.780450e-05	3	7.141940e-03	3.034290e-04	3	2.345820e-03	9.202560e-05	3	false	smoothSolver	1.327370e-02	5.074820e-04	1	true	GAMG	1.210780e-02	5.805230e-05	4	true	smoothSolver	4.105020e-04	9.819600e-06	2	true
21            	smoothSolver	2.144230e-03	9.548810e-05	3	7.034600e-03	2.990000e-04	3	2.301020e-03	8.970090e-05	3	false	smoothSolver	1.238860e-02	4.859430e-04	1	true	GAMG	1.174950e-02	1.105670e-04	3	true	smoothSolver	4.046720e-04	9.626270e-06	2	true
22            	smoothSolver	2.099990e-03	9.349250e-05	3	6.936170e-03	2.941400e-04	3	2.258480e-03	8.805400e-05	3	false	smoothSolver	1.159720e-02	4.664800e-04	1	true	GAMG	1.149230e-02	5.563850e-05	4	true	smoothSolver	3.993180e-04	9.456730e-06	2	true
23            	smoothSolver	2.070360e-03	9.182980e-05	3	6.844950e-03	2.900140e-04	3	2.224580e-03	8.622640e-05	3	false	smoothSolver	1.087870e-02	4.484920e-04	1	true	GAMG	1.129510e-02	9.832880e-05	3	true	smoothSolver	3.935360e-04	9.268330e-06	2	true
24            	smoothSolver	2.034760e-03	9.002080e-05	3	6.760960e-03	2.855270e-04	3	2.191030e-03	2.189000e-04	2	false	smoothSolver	1.023250e-02	4.319720e-04	1	true	GAMG	1.138900e-02	1.132830e-04	3	true	smoothSolver	3.880010e-04	9.096640e-06	2	true
25            	smoothSolver	1.996800e-03	8.832560e-05	3	6.668730e-03	2.809230e-04	3	2.160240e-03	8.627040e-05	3	false	smoothSolver	9.639230e-03	4.166440e-04	1	true	GAMG	1.068140e-02	5.159330e-05	4	true	smoothSolver	3.824180e-04	8.924760e-06	2	true
26            	smoothSolver	1.964500e-03	8.685400e-05	3	6.595380e-03	2.773730e-04	3	2.125420e-03	8.408160e-05	3	false	smoothSolver	9.105390e-03	4.023310e-04	1	true	GAMG	1.089250e-02	9.079100e-05	3	true	smoothSolver	3.772520e-04	8.773950e-06	2	true
27            	smoothSolver	1.935220e-03	8.512890e-05	3	6.523970e-03	2.736330e-04	3	2.094250e-03	8.119930e-05	3	false	smoothSolver	8.612370e-03	3.891360e-04	1	true	GAMG	1.028490e-02	4.520180e-05	4	true	smoothSolver	3.719670e-04	8.637920e-06	2	true
28            	smoothSolver	1.907670e-03	8.362090e-05	3	6.459350e-03	2.695330e-04	3	2.064820e-03	2.041010e-04	2	false	smoothSolver	8.164670e-03	3.768450e-04	1	true	GAMG	1.069640e-02	8.560590e-05	3	true	smoothSolver	3.670820e-04	8.516750e-06	2	true
29            	smoothSolver	1.882650e-03	8.222200e-05	3	6.388420e-03	2.642180e-04	3	2.045170e-03	7.939000e-05	3	false	smoothSolver	7.750210e-03	3.652880e-04	1	true	GAMG	1.026630e-02	9.822650e-05	3	true	smoothSolver	3.617140e-04	8.381660e-06	2	true
30            	smoothSolver	1.853610e-03	8.097930e-05	3	6.329910e-03	2.612230e-04	3	2.014370e-03	2.008790e-04	2	false	smoothSolver	7.371120e-03	3.545900e-04	1	true	GAMG	1.057010e-02	9.954720e-05	3	true	smoothSolver	3.572260e-04	8.286930e-06	2	true
31            	smoothSolver	1.827150e-03	7.981840e-05	3	6.269410e-03	2.564150e-04	3	1.995200e-03	7.808920e-05	3	false	smoothSolver	7.021360e-03	3.445930e-04	1	true	GAMG	1.025020e-02	9.667430e-05	3	true	smoothSolver	3.524170e-04	8.172450e-06	2	true
32            	smoothSolver	1.802360e-03	7.855490e-05	3	6.213940e-03	2.530880e-04	3	1.969300e-03	1.968240e-04	2	false	smoothSolver	6.697850e-03	3.353580e-04	1	true	GAMG	1.001440e-02	9.018900e-05	3	true	smoothSolver	3.481010e-04	8.076170e-06	2	true
33            	smoothSolver	1.780710e-03	7.756670e-05	3	6.160150e-03	2.497700e-04	3	1.953290e-03	7.613100e-05	3	false	smoothSolver	6.399840e-03	3.266100e-04	1	true	GAMG	1.062030e-02	9.421080e-05	3	true	smoothSolver	3.436580e-04	7.978970e-06	2	true
