# y+ ()       
# Time        	patch         	min           	max           	average       
100           	body	7.239420e+00	1.730160e+02	7.050078e+01
100           	head	1.156919e+01	1.226208e+02	5.463748e+01
100           	leg	5.281311e+00	1.902683e+02	3.608307e+01
100           	slant	1.156182e+01	1.368282e+02	5.962383e+01
100           	ground	3.383764e+01	2.450262e+03	3.168279e+02
200           	body	1.001556e+01	2.153235e+02	8.205838e+01
200           	head	1.171822e+01	1.313981e+02	6.266391e+01
200           	leg	2.900524e+00	2.300089e+02	5.494797e+01
200           	slant	1.562805e+01	2.238840e+02	7.403010e+01
200           	ground	3.435409e+01	4.414821e+03	4.821939e+02
300           	body	6.477727e+00	2.167452e+02	8.725946e+01
300           	head	8.154553e+00	1.327149e+02	6.288522e+01
300           	leg	3.323296e+00	3.406261e+02	6.903762e+01
300           	slant	1.743649e+01	2.599427e+02	8.117139e+01
300           	ground	3.434500e+01	4.795532e+03	5.104547e+02
400           	body	6.397522e+00	2.188542e+02	8.955525e+01
400           	head	8.227816e+00	1.252802e+02	5.770421e+01
400           	leg	3.816269e+00	3.134630e+02	6.817410e+01
400           	slant	1.872192e+01	2.905164e+02	7.833691e+01
400           	ground	3.434381e+01	4.944351e+03	5.337800e+02
500           	body	6.541202e+00	2.191920e+02	8.905505e+01
500           	head	8.103804e+00	1.214189e+02	5.587778e+01
500           	leg	3.958719e+00	3.172586e+02	6.706563e+01
500           	slant	2.152660e+01	3.006102e+02	7.864228e+01
500           	ground	3.434220e+01	5.304405e+03	5.555952e+02
600           	body	6.886564e+00	2.166971e+02	8.855532e+01
600           	head	8.111952e+00	1.215819e+02	5.575357e+01
600           	leg	4.224576e+00	3.115715e+02	6.667979e+01
600           	slant	1.878465e+01	3.030588e+02	8.067232e+01
600           	ground	3.434211e+01	5.597209e+03	5.801980e+02
700           	body	6.456768e+00	2.164911e+02	8.834377e+01
700           	head	8.214046e+00	1.215402e+02	5.574646e+01
700           	leg	2.659952e+00	3.092078e+02	6.623342e+01
700           	slant	1.960183e+01	3.039185e+02	8.245801e+01
700           	ground	3.434244e+01	5.849347e+03	5.897624e+02
800           	body	6.998248e+00	2.165630e+02	8.813747e+01
800           	head	8.201732e+00	1.211221e+02	5.574525e+01
800           	leg	3.844733e+00	3.109128e+02	6.644564e+01
800           	slant	2.049480e+01	3.044096e+02	8.093294e+01
800           	ground	3.434239e+01	6.097834e+03	5.932032e+02
900           	body	6.397664e+00	2.164650e+02	8.801137e+01
900           	head	8.244134e+00	1.209169e+02	5.574854e+01
900           	leg	1.636026e+00	3.060737e+02	6.623595e+01
900           	slant	2.252419e+01	3.045438e+02	8.193804e+01
900           	ground	3.434229e+01	6.278562e+03	6.007496e+02
1000          	body	6.418037e+00	2.161379e+02	8.801301e+01
1000          	head	8.177447e+00	1.212250e+02	5.574745e+01
1000          	leg	3.147033e+00	3.090027e+02	6.615049e+01
1000          	slant	1.426378e+01	3.050428e+02	8.152576e+01
1000          	ground	3.434261e+01	6.248523e+03	6.010542e+02
