# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.00120482    	smoothSolver	0.000000e+00	0.000000e+00	0	true	DICPCG	1.000000e+00	4.877770e-02	1	true
0.00265769    	smoothSolver	9.364430e-05	2.242890e-15	2	true	DICPCG	7.966760e-04	3.471080e-05	18	true
0.00439595    	smoothSolver	6.362610e-05	2.003610e-09	1	true	DICPCG	5.069130e-04	2.531980e-05	8	true
0.00647429    	smoothSolver	7.235290e-05	5.880000e-10	1	true	DICPCG	4.647630e-04	1.739440e-05	3	true
0.0089355     	smoothSolver	1.085480e-04	1.436530e-09	1	true	DICPCG	6.381190e-04	2.050880e-05	2	true
0.0118731     	smoothSolver	1.628810e-04	5.000870e-09	1	true	DICPCG	9.013250e-04	2.395790e-05	2	true
0.0153981     	smoothSolver	2.414110e-04	3.880120e-13	2	true	DICPCG	1.287960e-03	3.021520e-05	2	true
0.0196282     	smoothSolver	3.533830e-04	3.335780e-12	2	true	DICPCG	1.825240e-03	3.825460e-05	2	true
0.0246515     	smoothSolver	5.074280e-04	2.372490e-11	2	true	DICPCG	2.555710e-03	4.719150e-05	2	true
0.0304475     	smoothSolver	7.018180e-04	1.284460e-10	2	true	DICPCG	3.424770e-03	1.643780e-04	1	true
0.0374028     	smoothSolver	9.979270e-04	7.211030e-10	2	true	DICPCG	4.681560e-03	2.055710e-04	1	true
0.0452274     	smoothSolver	1.326050e-03	2.596750e-09	2	true	DICPCG	6.028170e-03	2.444060e-04	1	true
0.0543562     	smoothSolver	1.800180e-03	9.314050e-09	2	true	DICPCG	7.912220e-03	2.870170e-04	1	true
0.0657671     	smoothSolver	2.607350e-03	2.137060e-10	3	true	DICPCG	1.095000e-02	3.233930e-04	1	true
0.0771781     	smoothSolver	3.046070e-03	7.132690e-10	3	true	DICPCG	1.259450e-02	3.268810e-04	1	true
0.088589      	smoothSolver	3.438620e-03	2.144560e-09	3	true	DICPCG	1.389920e-02	3.163340e-04	1	true
0.1           	smoothSolver	3.778800e-03	4.546490e-09	3	true	DICPCG	1.478120e-02	3.013550e-04	1	true
0.1125        	smoothSolver	4.480310e-03	1.691680e-10	4	true	DICPCG	1.637390e-02	2.908080e-04	1	true
0.125         	smoothSolver	4.796450e-03	2.001530e-10	4	true	DICPCG	1.619590e-02	2.757140e-04	1	true
0.1375        	smoothSolver	5.106880e-03	3.226340e-10	4	true	DICPCG	1.557270e-02	2.902700e-04	1	true
0.15          	smoothSolver	5.423200e-03	5.159460e-10	4	true	DICPCG	1.575490e-02	3.188420e-04	1	true
0.16          	smoothSolver	4.551290e-03	2.478260e-10	4	true	DICPCG	1.416260e-02	3.078480e-04	1	true
0.17          	smoothSolver	4.721430e-03	4.557570e-10	4	true	DICPCG	1.339650e-02	3.050690e-04	1	true
0.18          	smoothSolver	4.915930e-03	8.129390e-10	4	true	DICPCG	1.360370e-02	3.480480e-04	1	true
0.19          	smoothSolver	5.062210e-03	9.229550e-10	4	true	DICPCG	1.246870e-02	3.356780e-04	1	true
0.2           	smoothSolver	5.292360e-03	7.043720e-10	4	true	DICPCG	1.345140e-02	3.663290e-04	1	true
0.21          	smoothSolver	5.372750e-03	4.951730e-10	4	true	DICPCG	1.283100e-02	3.608280e-04	1	true
0.22          	smoothSolver	5.450390e-03	2.623340e-10	4	true	DICPCG	1.327240e-02	3.499620e-04	1	true
0.23          	smoothSolver	5.542050e-03	1.775060e-10	4	true	DICPCG	1.290100e-02	3.860810e-04	1	true
0.24          	smoothSolver	5.589770e-03	9.864380e-11	4	true	DICPCG	1.275320e-02	3.675640e-04	1	true
0.248571      	smoothSolver	4.787720e-03	4.705290e-09	3	true	DICPCG	1.141550e-02	3.396340e-04	1	true
0.257143      	smoothSolver	4.848970e-03	3.253380e-09	3	true	DICPCG	1.120780e-02	3.718040e-04	1	true
0.265714      	smoothSolver	4.923380e-03	2.695210e-09	3	true	DICPCG	1.119060e-02	3.501430e-04	1	true
0.274286      	smoothSolver	4.914190e-03	2.359750e-09	3	true	DICPCG	1.128870e-02	3.740800e-04	1	true
0.282857      	smoothSolver	4.921240e-03	2.023960e-09	3	true	DICPCG	1.111380e-02	3.519180e-04	1	true
0.291429      	smoothSolver	4.885030e-03	1.691760e-09	3	true	DICPCG	1.118620e-02	3.635870e-04	1	true
0.3           	smoothSolver	4.859440e-03	1.814370e-09	3	true	DICPCG	1.147630e-02	3.419790e-04	1	true
0.308333      	smoothSolver	4.785760e-03	1.532430e-09	3	true	DICPCG	1.130340e-02	3.660530e-04	1	true
0.316667      	smoothSolver	4.806170e-03	1.913950e-09	3	true	DICPCG	1.114850e-02	3.539760e-04	1	true
0.325         	smoothSolver	4.767610e-03	2.628320e-09	3	true	DICPCG	1.109820e-02	3.401460e-04	1	true
0.333333      	smoothSolver	4.709600e-03	3.302820e-09	3	true	DICPCG	1.129330e-02	3.298060e-04	1	true
0.341667      	smoothSolver	4.692920e-03	5.229110e-09	3	true	DICPCG	1.137580e-02	3.546540e-04	1	true
0.348958      	smoothSolver	4.092370e-03	3.263670e-09	3	true	DICPCG	1.037500e-02	3.588230e-04	1	true
