# Solver information
# Time        	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.00120482    	DICPCG	1.000000e+00	4.871660e-02	1	true
0.00265769    	DICPCG	1.172490e-03	5.036580e-05	14	true
0.00439595    	DICPCG	5.267740e-04	2.335030e-05	12	true
0.00647429    	DICPCG	4.671010e-04	1.673690e-05	3	true
0.0089355     	DICPCG	6.229530e-04	1.922780e-05	2	true
0.0118731     	DICPCG	8.967890e-04	2.236440e-05	2	true
0.0153981     	DICPCG	1.284290e-03	2.906830e-05	2	true
0.0196282     	DICPCG	1.816780e-03	3.782470e-05	2	true
0.0246515     	DICPCG	2.530090e-03	4.798920e-05	2	true
0.0304475     	DICPCG	3.410010e-03	5.963850e-05	2	true
0.0374028     	DICPCG	4.741820e-03	7.842570e-05	2	true
0.0452274     	DICPCG	6.249760e-03	9.973320e-05	2	true
0.0543562     	DICPCG	8.666110e-03	4.277200e-04	1	true
0.0657671     	DICPCG	1.269520e-02	6.069940e-04	1	true
0.0771781     	DICPCG	1.496630e-02	7.237910e-04	1	true
0.088589      	DICPCG	1.698060e-02	8.224310e-04	1	true
0.1           	DICPCG	1.911810e-02	3.627400e-04	2	true
0.10625       	DICPCG	1.179350e-02	2.315090e-04	2	true
0.113462      	DICPCG	1.291260e-02	2.102130e-04	2	true
0.120673      	DICPCG	1.471060e-02	2.585100e-04	2	true
0.127885      	DICPCG	1.476020e-02	2.345130e-04	2	true
0.132692      	DICPCG	1.017300e-02	2.393710e-04	2	true
0.13787       	DICPCG	1.095600e-02	2.420200e-04	2	true
0.144083      	DICPCG	1.595090e-02	3.594340e-04	2	true
0.151072      	DICPCG	1.625840e-02	3.227430e-04	2	true
0.156509      	DICPCG	1.304250e-02	2.734820e-04	2	true
0.160858      	DICPCG	1.048740e-02	4.088420e-04	2	true
0.165751      	DICPCG	1.140030e-02	2.340830e-04	2	true
0.171459      	DICPCG	1.311130e-02	2.455230e-04	2	true
0.177167      	DICPCG	1.472580e-02	3.196460e-04	2	true
0.181734      	DICPCG	1.166550e-02	3.219370e-04	2	true
0.1863        	DICPCG	1.040500e-02	2.286050e-04	2	true
0.190867      	DICPCG	1.081450e-02	2.820990e-04	2	true
0.195433      	DICPCG	1.217900e-02	3.049600e-04	2	true
0.2           	DICPCG	1.187220e-02	2.743770e-04	2	true
0.204762      	DICPCG	1.220080e-02	3.706880e-04	2	true
0.210053      	DICPCG	1.295970e-02	2.631120e-04	2	true
0.216049      	DICPCG	1.384340e-02	2.877780e-04	2	true
0.221646      	DICPCG	1.375120e-02	2.563920e-04	2	true
0.225999      	DICPCG	1.061540e-02	3.694420e-04	2	true
