# Solver information
# Time        	alpha.water_solver	alpha.water_initial	alpha.water_final	alpha.water_iters	alpha.water_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
0.00120482    	smoothSolver	0.000000e+00	0.000000e+00	0	true	DICPCG	1.000000e+00	4.871880e-02	1	true
0.00265769    	smoothSolver	1.224630e-04	2.902950e-15	2	true	DICPCG	1.150310e-03	5.489990e-05	17	true
0.00439595    	smoothSolver	8.320750e-05	2.619380e-09	1	true	DICPCG	7.272480e-04	3.397400e-05	9	true
0.00647429    	smoothSolver	9.462060e-05	7.673810e-10	1	true	DICPCG	6.680520e-04	2.490180e-05	3	true
0.0089355     	smoothSolver	1.419590e-04	1.875030e-09	1	true	DICPCG	9.207610e-04	2.959800e-05	2	true
0.0118731     	smoothSolver	2.130270e-04	6.529560e-09	1	true	DICPCG	1.305210e-03	3.469440e-05	2	true
0.0153981     	smoothSolver	3.157570e-04	5.068070e-13	2	true	DICPCG	1.870510e-03	4.384120e-05	2	true
0.0196282     	smoothSolver	4.622660e-04	4.363320e-12	2	true	DICPCG	2.657440e-03	5.569410e-05	2	true
0.0246515     	smoothSolver	6.638800e-04	3.104510e-11	2	true	DICPCG	3.730080e-03	6.886570e-05	2	true
0.0304475     	smoothSolver	9.182550e-04	1.680880e-10	2	true	DICPCG	5.011070e-03	2.401360e-04	1	true
0.0374028     	smoothSolver	1.305440e-03	9.433540e-10	2	true	DICPCG	6.873730e-03	3.013170e-04	1	true
0.0452274     	smoothSolver	1.733740e-03	3.393110e-09	2	true	DICPCG	8.888230e-03	3.597320e-04	1	true
0.0543562     	smoothSolver	2.351690e-03	2.682440e-11	3	true	DICPCG	1.173530e-02	4.249220e-04	1	true
0.0657671     	smoothSolver	3.402220e-03	2.305780e-10	3	true	DICPCG	1.638670e-02	4.823940e-04	1	true
0.0771781     	smoothSolver	3.968640e-03	5.856140e-10	3	true	DICPCG	1.905010e-02	4.912990e-04	1	true
0.088589      	smoothSolver	4.473460e-03	1.257500e-09	3	true	DICPCG	2.129730e-02	4.817000e-04	1	true
0.1           	smoothSolver	4.910140e-03	1.527510e-09	3	true	DICPCG	2.298830e-02	4.665670e-04	1	true
