# Solver information
# Time              	p_rgh_solver        	p_rgh_initial       	p_rgh_final         	p_rgh_iters         	p_rgh_converged     
0.000119904076739   	GAMG	1.000000000000e+00	3.193449588740e-03	2	true
0.000263650750869   	GAMG	7.398222088840e-03	4.674157709640e-05	5	true
0.000436346407984   	GAMG	3.560086228670e-03	2.385900705110e-05	5	true
0.000643725711716   	GAMG	2.057580505100e-04	6.024369172650e-07	3	true
0.000892999824283   	GAMG	2.669266350920e-05	2.052472115580e-07	2	true
0.00119243275218    	GAMG	1.082342301210e-05	6.073779253230e-08	2	true
0.00155131192312    	GAMG	6.333300882730e-06	2.539777102470e-08	2	true
0.00198006137513    	GAMG	4.570363252360e-06	1.308722387280e-08	2	true
0.00249640480121    	GAMG	3.931250820030e-06	3.699752356930e-08	1	true
0.00311333460898    	GAMG	4.656456004310e-06	3.712228017510e-08	1	true
0.00385756739297    	GAMG	5.060462265560e-06	3.509179876410e-08	1	true
0.00474492186618    	GAMG	5.636858025260e-06	3.578208755080e-08	1	true
0.00579736554371    	GAMG	6.431196086160e-06	3.898277947840e-08	1	true
0.00706029795675    	GAMG	5.557552201190e-05	5.494897512630e-07	4	true
0.00859385874401    	GAMG	6.233225634300e-05	3.596813186460e-07	5	true
0.0103941257551     	GAMG	4.524228370670e-05	2.964394433070e-07	3	true
0.0125944521021     	GAMG	4.870835582140e-05	2.447130227020e-07	2	true
0.0152662769519     	GAMG	7.042502944780e-05	3.160815599410e-07	3	true
0.0184238881381     	GAMG	7.920919863790e-05	2.667390064560e-07	3	true
0.0223709021208     	GAMG	1.364724443390e-04	1.310144174240e-06	2	true
0.0269757517674     	GAMG	1.719916443540e-04	8.364312020560e-07	2	true
0.0327318138255     	GAMG	2.582070770910e-04	2.326130218920e-06	1	true
0.0384878758837     	GAMG	2.848771080860e-04	2.042057260800e-06	1	true
0.0442439379418     	GAMG	3.063336406860e-04	1.696775275840e-06	1	true
0.05                	GAMG	3.340835175380e-04	2.019569203840e-06	1	true
0.0571428571429     	GAMG	4.301094197460e-04	2.994538251210e-06	1	true
0.0657142857143     	GAMG	5.145821218610e-04	3.047658010570e-06	1	true
0.0771428571429     	GAMG	6.520222588990e-04	3.937440899950e-06	1	true
0.0885714285714     	GAMG	6.247665036680e-04	3.735069993120e-06	1	true
0.1                 	GAMG	5.917620660510e-04	3.071554951220e-06	1	true
0.1125              	GAMG	6.717600693770e-04	3.503141125900e-06	1	true
0.13125             	GAMG	1.240842332190e-03	6.496241063670e-06	1	true
0.15                	GAMG	1.887288611220e-03	1.090667531080e-05	1	true
0.175               	GAMG	3.856556054040e-03	1.812708928040e-05	1	true
0.2                 	GAMG	5.345105744170e-03	2.294217158810e-05	1	true
0.225               	GAMG	6.678476547640e-03	2.820802679880e-05	1	true
0.25                	GAMG	8.778982684600e-03	3.588731143420e-05	1	true
0.275               	GAMG	1.144238985650e-02	4.555842526550e-05	1	true
0.2875              	GAMG	7.658918439610e-03	3.496495283510e-05	1	true
0.3                 	GAMG	8.699220871220e-03	3.647657667510e-05	1	true
0.316666666667      	GAMG	1.237718633860e-02	5.624617868860e-05	1	true
0.333333333333      	GAMG	1.435534687930e-02	7.002660071230e-05	1	true
0.35                	GAMG	1.686067442560e-02	8.297333793900e-05	1	true
