Pressure in mBar			
1st peak	2nd peak	3th peak	4th peak
6.7552	6.1956	5.4894	5.5827
6.7818	6.1156	5.063	5.143
6.6619	5.9957	5.0897	5.103
6.6086	6.089	5.2362	5.2496
6.955	6.1023	5.0364	5.1163
6.7418	5.9691	5.1297	5.1696
6.8351	6.8084	5.7958	6.0756
6.8884	6.7552	5.9824	6.009
6.8751	6.6086	5.2895	5.4095
7.1016	6.8351	5.8891	6.1156
7.035	6.8218	5.8891	6.1156
6.6619	6.5686	5.4361	5.7825
6.8218	6.6619	5.5693	5.7292
6.9284	6.7818	5.8758	5.9824
6.995	6.7818	5.7026	6.1956
6.6219	6.4087	5.4761	5.4228
6.8218	6.6086	5.6626	6.0223
6.5953	6.0357	5.2629	5.4761
6.6752	6.1956	5.1297	5.1696
6.7685	6.4354	5.3029	5.2762
6.7951	6.2888	5.5027	5.6093
6.8218	6.1822	5.3695	5.4494
6.4087	6.2755	5.1696	5.2895
6.502	6.0756	5.1163	5.3961
6.9017	6.502	5.5294	5.7159
6.9683	6.542	5.3828	5.4761
6.9817	6.5153	5.4894	5.6093
6.7152	6.4087	5.4761	5.5693
6.8884	7.1282	5.7026	5.7026
6.7951	6.7152	5.7425	5.8092
6.7552	6.6619	5.596	5.6759
6.7951	6.4354	5.4627	5.4761
6.8084	6.6486	5.7425	5.5427
7.1016	6.3688	5.3828	5.4228
6.7951	6.1156	5.2229	5.1163
6.8484	6.3021	5.2629	5.7159
6.8884	6.4221	5.4228	5.5427
6.9017	6.3421	5.2229	5.3428
6.9817	6.4354	5.2895	5.3029
6.8617	6.5553	5.7825	5.6226
6.7552	5.9824	4.9298	5.1297
6.7685	6.3688	5.2762	5.516
7.2615	6.915	5.6893	5.6226
7.0083	6.502	5.556	5.556
6.7019	6.4354	5.5427	5.5693
7.1549	6.7019	5.5827	5.6893
6.8084	6.6352	5.5427	5.6226
6.7285	6.4354	5.5427	5.4894
6.7951	6.5287	5.4095	5.7159
6.955	6.4754	5.2762	5.3695
7.035	6.5553	5.4627	5.3295
6.7285	6.0623	5.0364	5.1963
7.1682	6.2089	5.3029	5.4095
7.0083	6.3688	5.2762	5.2629
7.2481	6.3954	5.4095	5.4627
6.915	6.2622	5.103	5.103
6.9417	6.2622	5.3029	5.4095
6.7685	6.2622	5.1563	5.2096
6.7951	6.502	5.3828	5.6093
7.0616	6.5953	5.636	5.636
6.955	6.6086	5.2895	5.3295
6.7418	6.6885	5.6759	5.6893
7.0083	6.6486	5.5027	5.7958
6.6885	6.8617	5.5027	5.7425
6.6885	6.5819	5.4228	5.5294
6.8484	6.6619	5.5027	5.556
6.995	6.5686	5.5027	5.556
7.1016	6.6486	5.3162	5.516
6.8084	6.1556	5.143	5.3428
6.9683	6.2089	5.3295	5.3295
6.9417	6.2755	4.9698	5.3295
7.0216	6.542	5.2496	5.3562
7.0483	6.3421	5.1829	5.3162
7.2348	6.462	5.4494	5.3828
6.5686	6.8484	5.5027	5.7026
6.8218	6.7685	5.636	5.7425
7.035	6.5553	5.6493	5.7692
6.7818	6.4487	5.4627	5.7159
6.8084	6.502	5.636	5.5294
6.7152	6.4887	5.4894	5.596
6.955	6.7818	6.502	5.7692
6.7152	6.6086	5.4095	5.4494
6.8218	6.7285	5.5427	5.5294
6.8884	6.5953	5.6493	5.4494
6.7818	6.5287	5.3295	5.636
7.035	6.2755	5.1696	5.2496
6.9284	6.3554	5.3029	5.1829
6.915	6.3821	5.3828	5.4361
6.8884	6.4354	5.2629	5.3162
7.1016	6.4087	5.2762	5.3828
7.0216	6.2755	5.556	5.4361
6.915	6.2622	5.1563	5.3162
6.995	6.502	5.4627	5.6626
6.995	6.6352	5.6493	5.6493
6.8484	6.6086	5.3961	5.596
6.7285	6.7019	5.5027	5.6093
6.7418	6.915	5.5827	5.596
6.8751	6.7019	5.516	5.7026
6.5819	6.5153	5.5027	5.4095
6.8084	6.5686	5.3828	5.4894
6.8484	7.4347	5.6093	5.6759
6.7951	6.6619	6.1822	5.9291
