Pressure in mBar			
1st peak	2nd peak	3th peak	4th peak
17.894	31.591	45.154	47.712
16.695	32.044	45.954	33.136
20.425	37.586	33.203	52.149
17.96	30.698	55.907	34.522
17.534	34.708	36.254	33.323
21.585	32.044	33.416	42.836
18.493	34.162	32.377	35.495
16.068	30.258	52.309	38.479
18.773	28.966	35.388	29.219
21.998	36.614	37.56	38.439
19.839	24.462	35.894	40.891
17.134	33.563	44.302	40.398
20.292	31.844	42.423	41.57
16.442	30.631	41.837	46.18
23.09	44.741	38.106	41.304
21.598	44.555	32.43	43.982
21.451	33.816	32.856	52.562
15.469	33.669	44.795	34.096
20.186	37.307	42.823	29.486
22.73	31.564	29.525	31.031
18.547	31.737	47.086	51.71
17.214	33.456	32.23	34.349
18.573	37.68	35.974	40.611
16.668	30.978	38.399	61.636
19.559	37.786	38.306	30.805
17.481	27.487	37.973	53.828
21.904	34.629	34.469	42.516
23.41	41.89	35.628	27.86
22.531	33.829	46.22	34.748
24.169	35.135	44.515	35.828
24.929	38.799	41.29	48.272
21.585	44.501	43.515	33.096
23.423	37.013	28.646	33.722
22.384	33.083	36.454	48.765
19.479	39.358	47.166	35.801
16.561	26.541	41.85	33.056
15.149	34.802	34.189	44.488
20.932	39.438	28.846	42.396
19.586	34.429	37.227	35.121
21.971	33.736	43.715	57.972
19.879	30.405	30.871	39.012
21.918	49.644	30.285	38.692
19.986	37.693	33.323	33.509
19.28	31.364	37.919	40.118
18.4	36.174	40.264	31.804
21.052	30.938	38.879	48.792
24.049	36.241	41.437	37.6
18.44	47.593	49.938	30.551
23.676	53.362	49.844	32.75
18.787	33.456	39.052	42.836
18.72	30.432	58.851	34.815
18.92	31.884	46.593	37.36
20.758	31.99	52.736	42.356
21.624	32.297	32.137	31.431
20.505	35.814	38.026	42.849
19.493	31.95	39.318	31.937
18.307	31.524	33.949	40.331
17.308	34.455	32.23	46.06
20.945	27.354	41.064	42.689
19.226	35.082	34.962	35.988
19.786	30.392	34.988	29.179
22.011	34.988	40.518	33.549
21.291	29.965	33.03	49.271
19.906	31.124	41.957	40.411
21.451	36.973	39.638	66.979
20.545	35.241	41.477	31.444
18.373	49.791	44.954	32.35
24.636	32.457	46.46	40.318
19	30.565	46.58	45.474
17.654	39.105	47.486	30.112
21.971	35.694	31.817	51.27
21.078	33.389	51.403	38.199
19.506	31.444	37.28	40.678
20.718	33.962	42.09	48.072
17.454	32.643	35.894	38.253
18.8	27.62	51.057	40.784
25.395	31.284	46.367	37.133
21.784	40.011	49.924	36.547
15.416	31.831	34.895	44.395
22.397	33.243	42.276	39.492
23.57	32.417	46.58	38.439
20.279	34.082	32.896	44.355
22.57	29.619	34.522	47.126
22.704	38.746	43.209	42.876
25.195	39.905	48.698	34.948
20.039	42.476	39.345	36.374
20.465	32.55	70.683	37.147
18.387	25.622	40.691	36.081
22.224	38.546	35.628	68.724
19.879	35.148	33.176	42.849
16.735	39.985	40.824	34.389
21.718	35.148	44.928	37.173
18.347	31.884	33.976	41.557
23.503	36.041	38.839	27.607
20.359	26.474	38.266	49.218
20.079	29.912	28.246	35.694
22.824	32.377	49.938	31.684
19.919	35.095	43.835	32.11
19.772	28.02	33.669	49.724
20.612	32.83	27.207	36.894
16.042	39.532	38.079	39.598
20.745	33.762	52.922	44.435
