Pressure in mBar			
1st peak	2nd peak	3th peak	4th peak
34.149	36.254	73.627	55.853
40.957	48.605	34.655	93.2
34.522	45.181	40.611	32.963
31.178	46.766	40.491	57.172
39.918	46.726	50.937	47.366
35.108	47.633	60.81	40.677
41.81	38.852	69.603	53.988
36.787	38.852	26.581	71.429
39.465	39.185	39.478	104.38
35.934	48.605	43.569	43.875
33.936	62.049	35.295	41.837
31.99	35.135	48.125	35.375
37.786	61.849	35.574	55.907
25.289	31.018	27.207	33.03
44.501	41.57	41.104	32.776
28.353	58.145	131.19	35.441
26.767	35.135	61.822	43.689
34.535	41.197	41.81	56.906
26.994	39.811	49.644	46.713
38.159	80.302	45.501	24.756
37.613	45.381	30.112	33.709
41.53	54.747	36.6	55.4
45.061	34.349	32.257	50.604
29.406	52.496	44.688	48.685
31.391	43.062	36.68	27.607
32.217	30.138	38.199	41.064
39.185	51.75	83.86	40.131
42.516	36.494	32.497	101.31
36.361	61.409	38.519	48.845
45.82	47.992	43.222	39.438
31.91	62.222	32.47	43.715
40.145	51.576	38.972	36.227
32.936	38.985	30.005	56.44
38.466	46.433	53.402	42.05
35.375	42.396	45.128	45.034
40.051	46.047	42.316	36.201
35.468	42.916	36.467	60.716
29.352	30.898	32.67	35.228
58.118	34.988	30.085	43.276
32.59	62.182	31.657	52.469
39.079	32.483	49.165	41.863
40.464	71.522	40.931	44.342
50.271	47.02	63.701	38.706
44.048	46.766	31.271	44.528
40.558	36.88	32.084	42.716
32.55	43.622	25.102	40.105
36.587	129.85	77.917	44.035
33.19	58.332	42.37	52.056
58.971	78.264	26.594	38.799
32.75	42.649	55.693	45.407
31.191	35.068	54.894	32.936
27.101	52.855	37.666	33.349
30.312	38.226	37.32	38.919
32.23	32.31	47.286	64.46
33.962	62.462	52.736	44.168
36.294	58.838	42.01	41.091
28.393	46.54	33.469	56.373
26.981	49.791	36.147	51.576
33.483	66.912	30.565	37.626
41.131	38.532	43.356	63.461
40.238	103.42	27.514	45.034
37.72	33.176	29.446	42.809
28.713	47.499	48.552	44.342
34.922	29.432	45.687	42.343
33.603	59.944	32.057	40.438
43.622	52.402	77.611	33.256
22.131	40.438	43.262	33.869
47.446	46.034	53.242	50.777
54.761	59.104	54.148	46.007
24.196	44.635	54.588	35.042
41.304	47.872	60.41	34.708
42.916	51.083	53.668	39.358
27.993	33.669	55.28	46.473
45.328	32.603	35.814	50.337
59.331	47.899	35.828	53.668
29.379	46.447	70.603	41.464
41.623	46.22	39.532	35.961
39.239	52.762	39.785	31.324
36.054	55.973	29.539	34.402
30.738	37.013	53.761	52.416
43.396	50.484	42.516	48.245
34.016	43.329	89.443	38.746
37.733	33.496	36.094	41.117
28.979	45.008	52.349	54.095
33.203	50.51	34.482	65.06
37.76	43.902	40.398	52.589
28.926	40.891	52.096	56.186
37.466	63.008	40.451	64.381
29.112	53.109	68.458	38.079
43.942	50.644	80.795	47.419
42.196	37.04	45.607	54.228
30.645	36.001	44.208	48.539
39.718	32.457	29.312	46.114
45.261	44.488	64.9	41.357
35.881	38.306	44.541	34.162
45.514	43.009	55.573	35.255
31.617	35.521	56.466	54.787
49.071	45.647	50.057	45.354
36.107	50.271	57.359	44.115
50.91	42.063	103.81	55.44
40.438	69.99	53.482	26.288
37.733	87.138	54.774	67.738
