Pressure in mBar			
1st peak	2nd peak	3th peak	4th peak
40.624	68.511	72.348	81.328
37.653	53.335	381.68	197.91
44.155	52.482	173.25	126.63
38.586	63.861	308.45	84.459
40.611	68.444	134.24	96.424
40.318	70.696	234.14	251.43
45.501	48.179	120.03	140.75
29.752	50.404	82.008	149.19
45.474	57.026	133.09	117.54
39.545	57.759	147.37	126.35
46.087	53.548	231.51	95.465
44.008	52.815	161.78	103.46
44.914	67.165	203.17	147.43
51.803	51.83	171.21	288.83
58.145	51.683	131.75	91.255
44.635	47.859	129.13	205
32.457	46.14	145.64	212.32
40.065	45.567	310.57	88.363
53.975	69.017	145.11	59.531
42.703	49.285	126.08	166.37
30.538	77.904	95.891	100.38
41.637	52.562	113.76	157.63
28.54	50.031	209.6	83.38
56.906	69.457	378.53	67.059
39.159	57.545	170.11	83.7
29.525	83.98	122.91	107.72
42.05	49.551	228.53	56.906
47.113	60.184	148.77	196.67
36.547	56.186	143.31	88.283
33.003	55.96	314.74	80.929
39.265	63.754	208.34	88.443
35.015	52.722	129.33	95.745
34.242	58.998	243.55	91.748
43.062	58.758	256.43	108.34
40.025	58.212	173.53	88.15
40.771	70.15	167.72	160.77
39.825	46.673	117.18	99.515
43.329	59.93	230.76	82.861
34.082	66.512	127.94	111.19
36.654	53.655	88.696	117.6
38.546	58.638	153.45	140.33
37.76	46.846	200.16	102.67
38.026	51.496	99.369	38.013
49.524	63.261	237.55	277.9
63.288	55.733	52.616	138.46
41.637	60.437	196.18	125
38.293	50.351	129.41	140.22
51.07	47.979	210.6	89.776
37.307	52.189	217.14	258.28
59.837	57.266	91.654	114.05
47.672	74.88	176.98	166.76
34.442	44.848	166.33	134.58
38.479	87.111	180.47	158.3
46.473	58.598	144.12	90.255
40.438	54.268	126.91	58.811
54.841	57.532	272.03	63.235
48.952	49.125	204.6	201.87
53.921	50.87	108.9	76.732
49.485	47.459	137.73	174.5
34.722	61.116	298.28	96.078
42.716	47.619	100.57	141.65
49.125	48.818	114.65	141.93
40.824	113.51	289.58	108.3
32.443	54.321	113.21	130.81
67.485	76.145	134.05	211.77
42.383	45.98	168.64	131.12
36.347	55.907	114.82	118.94
48.925	46.194	67.978	78.544
49.165	66.539	238.75	185.23
37.48	51.736	162.86	165.83
39.478	50.59	177.99	79.796
50.657	64.754	208.89	89.709
45.421	53.242	107.62	90.162
32.523	54.548	111.61	104.47
40.558	62.115	175.02	141.09
40.598	60.836	155.18	153.29
38.799	50.617	87.257	82.341
48.579	56.426	150.11	139.7
46.407	53.282	155	83.633
41.304	59.038	218.74	112.4
45.288	54.041	185.28	53.402
26.661	49.818	63.648	162.03
60.996	48.432	133.86	114.22
36.76	55.52	92.427	64.78
41.584	50.47	159.21	99.529
37.973	56.893	94.905	137.94
50.777	65.606	108.7	83.167
51.003	66.312	327.7	183.16
46.62	58.891	136.73	123.18
43.036	47.246	228.09	133.28
37.373	49.764	105.32	174.1
55.48	57.879	207.01	65.033
54.707	51.337	152.9	80.542
38.666	54.281	212.95	153.9
37.52	49.085	281.68	89.696
37.906	56.813	220.9	109.81
41.477	50.537	212.78	45.434
37.626	60.517	88.87	158.77
53.442	49.405	270.81	127.79
54.388	43.929	198.9	84.033
32.31	75.213	171.6	59.251
56.626	52.629	260.83	138.79
